Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16122006,172400,4.216,0.418,234.840,18.400,0.000,1.000,17.000
16122006,172500,5.360,0.436,233.630,23.000,0.000,1.000,16.000
16122006,172600,5.374,0.498,233.290,23.000,0.000,2.000,17.000
16122006,172700,5.388,0.502,233.740,23.000,0.000,1.000,17.000
16122006,172800,3.666,0.528,235.680,15.800,0.000,1.000,17.000
16122006,172900,3.520,0.522,235.020,15.000,0.000,2.000,17.000
16122006,173000,3.702,0.520,235.090,15.800,0.000,1.000,17.000
16122006,173100,3.700,0.520,235.220,15.800,0.000,1.000,17.000
16122006,173200,3.668,0.510,233.990,15.800,0.000,1.000,17.000
16122006,173300,3.662,0.510,233.860,15.800,0.000,2.000,16.000
16122006,173400,4.448,0.498,232.860,19.600,0.000,1.000,17.000
16122006,173500,5.412,0.470,232.780,23.200,0.000,1.000,17.000
16122006,173600,5.224,0.478,232.990,22.400,0.000,1.000,16.000
16122006,173700,5.268,0.398,232.910,22.600,0.000,2.000,17.000
16122006,173800,4.054,0.422,235.240,17.600,0.000,1.000,17.000
16122006,173900,3.384,0.282,237.140,14.200,0.000,0.000,17.000
16122006,174000,3.270,0.152,236.730,13.800,0.000,0.000,17.000
16122006,174100,3.430,0.156,237.060,14.400,0.000,0.000,17.000
16122006,174200,3.266,0.000,237.130,13.800,0.000,0.000,18.000
16122006,174300,3.728,0.000,235.840,16.400,0.000,0.000,17.000
16122006,174400,5.894,0.000,232.690,25.400,0.000,0.000,16.000
16122006,174500,7.706,0.000,230.980,33.200,0.000,0.000,17.000
16122006,174600,7.026,0.000,232.210,30.600,0.000,0.000,16.000
16122006,174700,5.174,0.000,234.190,22.000,0.000,0.000,17.000
16122006,174800,4.474,0.000,234.960,19.400,0.000,0.000,17.000
16122006,174900,3.248,0.000,236.660,13.600,0.000,0.000,17.000
16122006,175000,3.236,0.000,235.840,13.600,0.000,0.000,17.000
16122006,175100,3.228,0.000,235.600,13.600,0.000,0.000,17.000
16122006,175200,3.258,0.000,235.490,13.800,0.000,0.000,17.000
16122006,175300,3.178,0.000,235.280,13.400,0.000,0.000,17.000
16122006,175400,2.720,0.000,235.060,11.600,0.000,0.000,17.000
16122006,175500,3.758,0.076,234.170,16.400,0.000,0.000,17.000
16122006,175600,4.342,0.090,233.770,18.400,0.000,0.000,16.000
16122006,175700,4.512,0.000,233.620,19.200,0.000,0.000,17.000
16122006,175800,4.058,0.200,234.680,17.600,0.000,0.000,17.000
16122006,175900,2.472,0.058,236.940,10.400,0.000,0.000,17.000
16122006,180000,2.790,0.180,237.520,11.800,0.000,0.000,18.000
16122006,180100,2.624,0.144,238.200,11.000,0.000,0.000,17.000
16122006,180200,2.772,0.118,238.280,11.600,0.000,0.000,17.000
16122006,180300,3.740,0.108,236.930,16.400,0.000,16.000,18.000
16122006,180400,4.928,0.202,235.010,21.000,0.000,37.000,16.000
16122006,180500,6.052,0.192,232.930,26.200,0.000,37.000,17.000
16122006,180600,6.752,0.186,232.120,29.000,0.000,36.000,17.000
